metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
kurrentdb.subscription.last_known_event_number,gauge,,,,Last known event number of the subscription,0,kurrentdb,,
kurrentdb.subscription.connections,gauge,,connection,,Number of connections to the subscription,0,kurrentdb,,
kurrentdb.subscription.messages_in_flight,gauge,,message,,Number of in flight messages of the subscription,0,kurrentdb,,
kurrentdb.cluster.member_alive,gauge,,,,Whether the cluster member is alive (1 or 0),0,kurrentdb,,
kurrentdb.cluster.last_commit_position,gauge,,,,Last commit position of the cluster member,0,kurrentdb,,
kurrentdb.cluster.writer_checkpoint,gauge,,,,Writer checkpoint of the cluster member,0,kurrentdb,,
kurrentdb.cluster.chaser_checkpoint,gauge,,,,Chaser checkpoint of the cluster member,0,kurrentdb,,
kurrentdb.cluster.epoch_position,gauge,,,,Epoch position of the cluster member,0,kurrentdb,,
kurrentdb.cluster.epoch_number,gauge,,,,Epoch number of the cluster member,0,kurrentdb,,
kurrentdb.cluster.node_priority,gauge,,,,Node priority of the cluster member,0,kurrentdb,,
