Metric Name,Type,Description
crdb_dedicated.range.raftleadertransfers,(count),Number of raft leader transfers
crdb_dedicated.range.removes,(count),Number of range removals
crdb_dedicated.range.snapshots.generated,(count),Number of generated snapshots
crdb_dedicated.range.splits,(count),Number of range splits
crdb_dedicated.ranges,(gauge),Number of ranges
crdb_dedicated.ranges.overreplicated,(gauge),Number of ranges with more live replicas than the replication target
crdb_dedicated.ranges.unavailable,(gauge),Number of ranges with fewer live replicas than needed for quorum
crdb_dedicated.ranges.underreplicated,(gauge),Number of ranges with fewer live replicas than the replication target
crdb_dedicated.rebalancing.writespersecond,(gauge),"Number of keys written (i.e. applied by raft) per second to the store, averaged over a large time period as used in rebalancing decisions. Shown as key"
crdb_dedicated.replicas,(gauge),Number of replicas
crdb_dedicated.replicas.leaders,(gauge),Number of raft leaders
crdb_dedicated.replicas.leaders.not_leaseholders,(gauge),Number of replicas that are Raft leaders whose range lease is held by another store
crdb_dedicated.replicas.leaseholders,(gauge),Number of lease holders
crdb_dedicated.replicas.quiescent,(gauge),Number of quiesced replicas
crdb_dedicated.replicas.reserved,(gauge),Number of replicas reserved for snapshots
crdb_dedicated.requests.backpressure.split,(gauge),Number of backpressured writes waiting on a Range split
crdb_dedicated.requests.slow.distsender,(gauge),Number of requests that have been stuck for a long time in the dist sender. Shown as request
crdb_dedicated.requests.slow.lease,(gauge),Number of requests that have been stuck for a long time acquiring a lease. Shown as request
crdb_dedicated.requests.slow.raft,(gauge),Number of requests that have been stuck for a long time in raft. Shown as request
crdb_dedicated.rocksdb.block.cache.hits,(gauge),Count of block cache hits
crdb_dedicated.rocksdb.block.cache.misses,(gauge),Count of block cache misses
crdb_dedicated.rocksdb.block.cache.pinned.usage,(gauge),Bytes pinned by the block cache. Shown as byte
crdb_dedicated.rocksdb.block.cache.usage,(gauge),Bytes used by the block cache. Shown as byte
crdb_dedicated.rocksdb.bloom_filter.prefix.checked,(gauge),Number of times the bloom filter was checked
crdb_dedicated.rocksdb.bloom_filter.prefix.useful,(gauge),Number of times the bloom filter helped avoid iterator creation
crdb_dedicated.rocksdb.compactions,(gauge),Number of table compactions
crdb_dedicated.rocksdb.flushes,(gauge),Number of table flushes
crdb_dedicated.rocksdb.memtable.total.size,(gauge),Current size of memtable in bytes. Shown as byte
crdb_dedicated.rocksdb.num_sstables,(gauge),Number of rocksdb SSTables. Shown as table
crdb_dedicated.rocksdb.read.amplification,(gauge),Number of disk reads per query. Shown as read
crdb_dedicated.rocksdb.table.readers.mem.estimate,(gauge),Memory used by index and filter blocks
crdb_dedicated.round_trip.latency,(distribution),Distribution of round-trip latencies with other nodes in nanoseconds. Shown as nanosecond
crdb_dedicated.sql.bytesin,(count),Number of sql bytes received. Shown as byte
crdb_dedicated.sql.bytesout,(count),Number of sql bytes sent. Shown as byte
crdb_dedicated.sql.conn.latency,(distribution),Latency to establish and authenticate a SQL connection. Shown as nanoseconds.
crdb_dedicated.sql.conns,(gauge),Number of active sql connections. Shown as connection
crdb_dedicated.sql.ddl.count,(count),Number of SQL DDL statements
crdb_dedicated.sql.delete.count,(count),Number of SQL DELETE statements
crdb_dedicated.sql.distsql.contended.queries.count,(count),Number of SQL queries that experienced contention. Shown as count.
crdb_dedicated.sql.distsql.exec.latency,(distribution),Latency in nanoseconds of DistSQL statement execution. Shown as nanosecond
crdb_dedicated.sql.distsql.flows.active,(gauge),Number of distributed SQL flows currently active
