metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
aerospike.namespace.evicted_objects,gauge,,,,Number of objects evicted from this namespace on this node since the server started.,0,aerospike,evicted_objects,,
aerospike.namespace.fail_client_lost_conflict,gauge,,,,Number of client write transactions (non-xdr) that failed because some bin's last-update-time is greater than the transaction time,0,aerospike,fail_client_lost_conflict,,
aerospike.namespace.fail_generation,gauge,,,,Number of read/write transactions failed on generation check.,0,aerospike,fail_generation,,
aerospike.namespace.fail_key_busy,gauge,,,,Number of read/write transactions failed on 'hot keys'. ,0,aerospike,fail_key_busy,,
aerospike.namespace.fail_mrt_blocked,gauge,,,,Number of transactions or read/write commands blocked by an ongoing transaction.,0,aerospike,fail_mrt_blocked,,
aerospike.namespace.fail_mrt_version_mismatch,gauge,,,,Number of version mismatches - usually in verify reads,0,aerospike,fail_mrt_version_mismatch,,
aerospike.namespace.fail_record_too_big,gauge,,,,Number of read/write transactions failed due to record too big (above the write-block-size limit).,0,aerospike,fail_record_too_big,,
aerospike.namespace.fail_xdr_forbidden,gauge,,,,Number of read/write transactions failed due to configuration restriction.,0,aerospike,fail_xdr_forbidden,,
aerospike.namespace.fail_xdr_key_busy,gauge,,,,Number of XDR key-busy errors (code 32) that have occurred],0,aerospike,fail_xdr_key_busy,,
aerospike.namespace.fail_xdr_lost_conflict,gauge,,,,Number of XDR write transactions that did not succeed in updating all the attempted bins,0,aerospike,fail_xdr_lost_conflict,,
aerospike.namespace.from_proxy_batch_sub_delete_error,gauge,,,,Number of batch-index delete subtransactions proxied from another node that failed with an error.,0,aerospike,from_proxy_batch_sub_delete_error,,
aerospike.namespace.from_proxy_batch_sub_delete_filtered_out,gauge,,,,Number of batch-index delete subtransactions proxied from another node that did not happen because the record was filtered out with Filter Expressions,0,aerospike,from_proxy_batch_sub_delete_filtered_out,,
aerospike.namespace.from_proxy_batch_sub_delete_not_found,gauge,,,,Number of batch-index delete subtransactions proxied from another node that resulted in not found.,0,aerospike,from_proxy_batch_sub_delete_not_found,,
aerospike.namespace.from_proxy_batch_sub_delete_success,gauge,,,,Number of records successfully deleted by batch-index subtransactions proxied from another node.,0,aerospike,from_proxy_batch_sub_delete_success,,
aerospike.namespace.from_proxy_batch_sub_delete_timeout,gauge,,,,Number of batch-index delete subtransactions proxied from another node that timed out.,0,aerospike,from_proxy_batch_sub_delete_timeout,,
aerospike.namespace.from_proxy_batch_sub_lang_delete_success,gauge,,,,Number of successful batch-index UDF delete subtransactions proxied from another node.,0,aerospike,from_proxy_batch_sub_lang_delete_success,,
aerospike.namespace.from_proxy_batch_sub_lang_error,gauge,,,,Number of language (Lua) batch-index errors for UDF sub-transactions proxied from another node.,0,aerospike,from_proxy_batch_sub_lang_error,,
aerospike.namespace.from_proxy_batch_sub_lang_read_success,gauge,,,,Number of successful batch-index UDF read subtransactions proxied from another node.,0,aerospike,from_proxy_batch_sub_lang_read_success,,
aerospike.namespace.from_proxy_batch_sub_lang_write_success,gauge,,,,Number of successful batch-index UDF write subtransactions proxied from another node.,0,aerospike,from_proxy_batch_sub_lang_write_success,,
aerospike.namespace.from_proxy_batch_sub_read_error,gauge,,transaction,,Number of batch-index read sub-transactions proxied from another node that failed with an error.,0,aerospike,from_proxy_batch_sub_read_error,,
aerospike.namespace.from_proxy_batch_sub_read_filtered_out,gauge,,transaction,,Number of batch-index read sub transactions proxied from another node that did not happen because the record was filtered out using a predicate expression.,0,aerospike,from_proxy_batch_sub_read_filtered_out,,
aerospike.namespace.from_proxy_batch_sub_read_not_found,gauge,,transaction,,Number of batch-index read sub transactions proxied from another node that resulted in not found.,0,aerospike,from_proxy_batch_sub_read_not_found,,
aerospike.namespace.from_proxy_batch_sub_read_success,gauge,,transaction,,Number of records successfully read by batch-index sub transactions proxied from another node.,0,aerospike,from_proxy_batch_sub_read_success,,
aerospike.namespace.from_proxy_batch_sub_read_timeout,gauge,,transaction,,Number of batch-index read sub transactions proxied from another node that timed out.,0,aerospike,from_proxy_batch_sub_read_timeout,,
aerospike.namespace.from_proxy_batch_sub_tsvc_error,gauge,,transaction,,"The number of batch-index read sub transactions proxied from another node that failed with an error in the transaction service, before attempting to handle the transaction.",0,aerospike,from_proxy_batch_sub_tsvc_error,,
