metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
portworx.px_node_stats_procfs_mem_writeback_bytes,gauge,,byte,,The total amount of memory actively being written back to the disk,0,portworx,node procfs mem writeback bytes,
portworx.px_node_stats_procfs_mem_total_bytes,gauge,,byte,,Total amount of usable RAM which is physical RAM minus a number of reserved bits and the kernel binary code,0,portworx,node procfs mem total bytes,
portworx.px_node_stats_procfs_mem_free_bytes,gauge,,byte,,"The amount of physical RAM, in bytes, left unused by the system.",0,portworx,node procfs mem free bytes,
portworx.px_node_stats_procfs_mem_buffers_bytes,gauge,,byte,,"The amount, in bytes, of temporary storage for raw disk blocks",0,portworx,node procfs mem buffers bytes,
portworx.px_node_stats_procfs_mem_cached_bytes,gauge,,byte,,"The amount of physical RAM, in bytes, used as cache memory",0,portworx,node procfs mem cached bytes,
portworx.px_node_stats_procfs_mem_active_anon_bytes,gauge,,byte,,"The amount of anonymous and tmpfs/shmem memory, in bytes, that is in active use",0,portworx,node procfs mem active anon bytes,
portworx.px_node_stats_procfs_mem_inactive_anon_bytes,gauge,,byte,,"The amount of anonymous and tmpfs/shmem memory, in bytes, that is a candidate for eviction",0,portworx,node procfs mem inactive anon bytes,
portworx.px_node_stats_procfs_mem_active_file_bytes,gauge,,byte,,"The amount of file cache memory, in bytes, that is in active use",0,portworx,node procfs mem active file bytes,
portworx.px_node_stats_procfs_mem_inactive_file_bytes,gauge,,byte,,"The amount of file cache memory, in bytes, that is newly loaded from the disk",0,portworx,node procfs mem inactive file bytes,
portworx.px_node_stats_procfs_mem_unevictable_bytes,gauge,,byte,,"The amount of memory, in bytes, discovered by the pageout code",0,portworx,node procfs mem unevictable bytes,
portworx.px_node_stats_procfs_mem_mlocked_bytes,gauge,,byte,,"The total amount of memory, in bytes, that is not evictable because it is locked into memory by user programs",0,portworx,node procfs mem mlocked bytes,
portworx.px_node_stats_procfs_mem_anon_pages_bytes,gauge,,byte,,"The total amount of memory, in bytes, used by pages that are not backed by files and are mapped into userspace page tables",0,portworx,node procfs mem anon pages bytes,
